dataset,depth,num_features,num_classes,num_samples_train,run_idx,seed,test_acc,test_ce,val_acc,val_ce,n_leaves,tree_depth
heart,4,20,2,189,4,1402,0.6097560975609756,2.375636243824276,0.65,1.4462914169421635,15,4
heart,4,20,2,189,5,1444,0.6097560975609756,2.375636243824276,0.65,1.4462914169421635,15,4
heart,8,20,2,189,1,1276,0.6341463414634146,12.37456312752188,0.7,10.820849889942743,46,8
heart,8,20,2,189,2,1318,0.6585365853658537,11.49544963022634,0.675,10.861085837753595,46,8
heart,8,20,2,189,3,1360,0.6341463414634146,12.372440898814814,0.675,10.894722646918586,46,8
heart,8,20,2,189,4,1402,0.6341463414634146,12.372440898814814,0.7,9.981881221459513,46,8
heart,8,20,2,189,5,1444,0.6341463414634146,12.372440898814814,0.675,10.022117169270366,46,8
heart,12,20,2,189,1,1276,0.5853658536585366,14.944929454024185,0.775,8.109822012551358,34,9
heart,12,20,2,189,2,1318,0.6097560975609756,14.065815956728645,0.775,8.109822012551358,34,9
heart,12,20,2,189,3,1360,0.5609756097560976,15.824042951319726,0.8,7.20873067782343,34,9
heart,12,20,2,189,4,1402,0.6097560975609756,14.065815956728645,0.775,8.109822012551358,35,9
heart,12,20,2,189,5,1444,0.6341463414634146,13.186702459433105,0.8,7.20873067782343,35,9
ecoli,4,6,5,228,1,1276,0.82,4.484407989583109,0.8979591836734694,2.404802666376809,14,4
ecoli,4,6,5,228,2,1318,0.82,4.484407989583109,0.8979591836734694,2.404802666376809,14,4
ecoli,4,6,5,228,3,1360,0.8,5.205281057365451,0.8979591836734694,2.404802666376809,14,4
ecoli,4,6,5,228,4,1402,0.8,5.205281057365451,0.8979591836734694,2.404802666376809,14,4
ecoli,4,6,5,228,5,1444,0.82,4.484407989583109,0.8979591836734694,2.404802666376809,14,4
ecoli,6,6,5,228,1,1276,0.86,4.370838773061691,0.7755102040816326,6.017549021088686,26,6
ecoli,6,6,5,228,2,1318,0.86,4.370838773061691,0.7551020408163265,6.753133784131894,26,6
ecoli,6,6,5,228,3,1360,0.84,5.0917118408440345,0.7959183673469388,5.281964258045479,26,6
ecoli,6,6,5,228,4,1402,0.84,5.0917118408440345,0.7755102040816326,6.7134213321103555,26,6
ecoli,6,6,5,228,5,1444,0.86,4.370838773061691,0.7959183673469388,5.281964258045479,26,6
led7,4,7,8,1794,1,1276,0.6961038961038961,1.0439696005646077,0.6510416666666666,0.9924129194109591,16,4
led7,4,7,8,1794,2,1318,0.6961038961038961,1.0439696005646077,0.6510416666666666,0.9924129194109591,16,4
led7,4,7,8,1794,3,1360,0.6961038961038961,1.0439696005646077,0.6510416666666666,0.9924129194109591,16,4
led7,4,7,8,1794,4,1402,0.6961038961038961,1.0439696005646077,0.6510416666666666,0.9924129194109591,16,4
led7,4,7,8,1794,5,1444,0.6961038961038961,1.0439696005646077,0.6510416666666666,0.9924129194109591,16,4
led7,7,7,8,1794,1,1276,0.8,2.991864262042028,0.796875,1.5377874860294687,99,7
led7,7,7,8,1794,2,1318,0.8,2.991864262042028,0.796875,1.5377874860294687,99,7
led7,7,7,8,1794,3,1360,0.8,2.991864262042028,0.796875,1.5377874860294687,99,7
led7,7,7,8,1794,4,1402,0.8,2.991864262042028,0.796875,1.5377874860294687,99,7
led7,7,7,8,1794,5,1444,0.8,2.991864262042028,0.796875,1.5377874860294687,99,7
compas,4,12,2,8446,1,1276,0.6922348484848485,0.5956455853958496,0.6647727272727273,0.6082414104099892,16,4
compas,4,12,2,8446,2,1318,0.6922348484848485,0.5956455853958496,0.6647727272727273,0.6082414104099892,16,4
compas,4,12,2,8446,3,1360,0.6922348484848485,0.5956455853958496,0.6647727272727273,0.6082414104099892,16,4
compas,4,12,2,8446,4,1402,0.6922348484848485,0.5956455853958496,0.6647727272727273,0.6082414104099892,16,4
compas,4,12,2,8446,5,1444,0.6922348484848485,0.5956455853958496,0.6647727272727273,0.6082414104099892,16,4
compas,8,12,2,8446,1,1276,0.6837121212121212,0.850443455495773,0.6818181818181818,1.1593493117004554,211,8
compas,8,12,2,8446,2,1318,0.6818181818181818,0.8514786795501951,0.6799242424242424,1.1594408635777205,211,8
compas,8,12,2,8446,3,1360,0.6837121212121212,0.8839193136478158,0.6818181818181818,1.1262574167189696,211,8
compas,8,12,2,8446,4,1402,0.6837121212121212,0.850443455495773,0.6818181818181818,1.1588655753143133,211,8
compas,8,12,2,8446,5,1444,0.6837121212121212,0.8842068916911854,0.6818181818181818,1.1259698386756,211,8
compas,12,12,2,8446,1,1276,0.6695075757575758,3.602021445135948,0.6704545454545454,3.7467619860698393,844,12
compas,12,12,2,8446,2,1318,0.6685606060606061,3.6374253768315534,0.6676136363636364,3.8471046469370154,843,12
compas,12,12,2,8446,3,1360,0.6666666666666666,3.604781771787861,0.6685606060606061,3.9148035321893238,844,12
compas,12,12,2,8446,4,1402,0.6695075757575758,3.504835234765189,0.665719696969697,4.014604142154414,842,12
compas,12,12,2,8446,5,1444,0.6695075757575758,3.602777391252106,0.6685606060606061,3.814372399030797,843,12
german,4,23,2,767,1,1276,0.65625,0.6569918500693878,0.7916666666666666,0.5405164197144997,14,4
german,4,23,2,767,2,1318,0.65625,0.6569918500693878,0.7916666666666666,0.5405164197144997,14,4
german,4,23,2,767,3,1360,0.65625,0.6569918500693878,0.7916666666666666,0.5405164197144997,14,4
german,4,23,2,767,4,1402,0.65625,0.6569918500693878,0.7916666666666666,0.5405164197144997,14,4
german,4,23,2,767,5,1444,0.65625,0.6569918500693878,0.7916666666666666,0.5405164197144997,14,4
german,8,23,2,767,1,1276,0.6354166666666666,2.7795397846123464,0.7916666666666666,1.920981894856048,103,8
german,8,23,2,767,2,1318,0.6354166666666666,2.7742186843647842,0.7916666666666666,1.920981894856048,103,8
german,8,23,2,767,3,1360,0.6354166666666666,2.7795397846123464,0.7916666666666666,1.920981894856048,103,8
german,8,23,2,767,4,1402,0.6354166666666666,2.7795397846123464,0.7916666666666666,1.920981894856048,103,8
german,8,23,2,767,5,1444,0.6354166666666666,2.7795397846123464,0.7916666666666666,1.920981894856048,103,8
german,12,23,2,767,1,1276,0.6041666666666666,11.4347963857758,0.6770833333333334,8.441185500744725,206,12
german,12,23,2,767,2,1318,0.6145833333333334,10.70844225259298,0.6666666666666666,8.471029812722975,208,12
german,12,23,2,767,3,1360,0.6041666666666666,11.4347963857758,0.65625,9.18677384610377,209,12
german,12,23,2,767,4,1402,0.59375,11.807254420324398,0.6666666666666666,8.826986596183554,211,12
german,12,23,2,767,5,1444,0.59375,11.80493000833154,0.6666666666666666,8.452629378751686,209,12
churn,4,40,2,5634,1,1276,0.7361702127659574,0.5383072189848432,0.7073863636363636,0.5816698259996809,6,3
churn,4,40,2,5634,2,1318,0.7361702127659574,0.5383072189848432,0.7073863636363636,0.5816698259996809,6,3
churn,4,40,2,5634,3,1360,0.7361702127659574,0.5383072189848432,0.7073863636363636,0.5816698259996809,6,3
churn,4,40,2,5634,4,1402,0.7361702127659574,0.5383072189848432,0.7073863636363636,0.5816698259996809,6,3
churn,4,40,2,5634,5,1444,0.7361702127659574,0.5383072189848432,0.7073863636363636,0.5816698259996809,6,3
churn,8,40,2,5634,1,1276,0.7446808510638298,0.49138249582060894,0.6917613636363636,0.5446333636259081,26,6
churn,8,40,2,5634,2,1318,0.7446808510638298,0.49138249582060894,0.6917613636363636,0.5446333636259081,26,6
churn,8,40,2,5634,3,1360,0.7446808510638298,0.49138249582060894,0.6917613636363636,0.5446333636259081,26,6
churn,8,40,2,5634,4,1402,0.7446808510638298,0.49138249582060894,0.6917613636363636,0.5446333636259081,26,6
churn,8,40,2,5634,5,1444,0.7446808510638298,0.49138249582060894,0.6917613636363636,0.5446333636259081,26,6
churn,12,40,2,5634,1,1276,0.7418439716312056,4.468834925857438,0.7144886363636364,5.054087595840553,642,12
churn,12,40,2,5634,2,1318,0.7390070921985815,4.470801300837749,0.7088068181818182,5.2592897203134505,641,12
churn,12,40,2,5634,3,1360,0.7460992907801418,4.2669747909308295,0.7088068181818182,5.258358744670585,641,12
churn,12,40,2,5634,4,1402,0.7347517730496453,4.623012426576579,0.7144886363636364,5.050791966985923,643,12
churn,12,40,2,5634,5,1444,0.7446808510638298,4.366008299068299,0.7130681818181818,5.056056763967144,640,12
sonar,4,60,2,166,1,1276,0.7142857142857143,7.193551764016821,0.5714285714285714,5.755321968657934,13,4
sonar,4,60,2,166,2,1318,0.7142857142857143,7.193551764016821,0.5714285714285714,5.755321968657934,13,4
