dataset,depth,approach,hidden_layers,hidden_size,run_idx,seed,test_acc,test_ce,val_acc,val_ce
fico,12,ffnn_1h_8,1,8,5,1444,0.7237093448638916,0.6616182923316956,0.7026768326759338,0.6625087857246399
fico,12,ffnn_1h_16,1,16,1,1276,0.7275334596633911,0.6617250442504883,0.7065009474754333,0.6625347137451172
fico,12,ffnn_1h_16,1,16,2,1318,0.7275334596633911,0.6616166234016418,0.7017208337783813,0.6624767184257507
fico,12,ffnn_1h_16,1,16,3,1360,0.7237093448638916,0.6618494987487793,0.7007648348808289,0.6626752614974976
fico,12,ffnn_1h_16,1,16,4,1402,0.7256214022636414,0.6614752411842346,0.7036328911781311,0.6624151468276978
fico,12,ffnn_1h_16,1,16,5,1444,0.7237093448638916,0.6616183519363403,0.7026768326759338,0.6625087857246399
drybean,4,ffnn_1h_4,1,4,1,1276,0.6607929468154907,1.9027278423309326,0.6164584755897522,1.9044828414916992
drybean,4,ffnn_1h_4,1,4,2,1318,0.6505139470100403,1.9027953147888184,0.6098456978797913,1.9046276807785034
drybean,4,ffnn_1h_4,1,4,3,1360,0.6585903167724609,1.9027373790740967,0.61204993724823,1.9045238494873047
drybean,4,ffnn_1h_4,1,4,4,1402,0.6585903167724609,1.9027317762374878,0.6193975210189819,1.9045231342315674
drybean,4,ffnn_1h_4,1,4,5,1444,0.6585903167724609,1.9027302265167236,0.615723729133606,1.9044965505599976
drybean,4,ffnn_1h_8,1,8,1,1276,0.6607929468154907,1.9027278423309326,0.6164584755897522,1.9044828414916992
drybean,4,ffnn_1h_8,1,8,2,1318,0.6505139470100403,1.9027953147888184,0.6098456978797913,1.9046276807785034
drybean,4,ffnn_1h_8,1,8,3,1360,0.6585903167724609,1.9027373790740967,0.61204993724823,1.9045238494873047
drybean,4,ffnn_1h_8,1,8,4,1402,0.6585903167724609,1.9027317762374878,0.6193975210189819,1.9045231342315674
drybean,4,ffnn_1h_8,1,8,5,1444,0.6585903167724609,1.9027302265167236,0.615723729133606,1.9044965505599976
drybean,4,ffnn_1h_16,1,16,1,1276,0.6607929468154907,1.9027278423309326,0.6164584755897522,1.9044828414916992
drybean,4,ffnn_1h_16,1,16,2,1318,0.6505139470100403,1.9027953147888184,0.6098456978797913,1.9046276807785034
drybean,4,ffnn_1h_16,1,16,3,1360,0.6585903167724609,1.9027373790740967,0.61204993724823,1.9045238494873047
drybean,4,ffnn_1h_16,1,16,4,1402,0.6585903167724609,1.9027317762374878,0.6193975210189819,1.9045231342315674
drybean,4,ffnn_1h_16,1,16,5,1444,0.6585903167724609,1.9027302265167236,0.615723729133606,1.904496669769287
