dataset,depth,approach,optimizer,learning_rate,run_idx,seed,test_acc,test_ce,val_acc,val_ce
car,4,ffnn_0layer,adam,0.01,1,1276,0.8034681677818298,1.2599979639053345,0.7919074892997742,1.2558754682540894
car,4,ffnn_0layer,adam,0.01,2,1318,0.8034681677818298,1.2599796056747437,0.7919074892997742,1.255859136581421
car,4,ffnn_0layer,adam,0.01,3,1360,0.8034681677818298,1.2599928379058838,0.7919074892997742,1.255872368812561
car,4,ffnn_0layer,adam,0.01,4,1402,0.8034681677818298,1.2599718570709229,0.7919074892997742,1.2558525800704956
car,4,ffnn_0layer,adam,0.01,5,1444,0.8034681677818298,1.260001540184021,0.7919074892997742,1.2558789253234863
car,4,ffnn_0layer,adam,0.05,1,1276,0.8034681677818298,1.2599806785583496,0.7919074892997742,1.2558629512786865
car,4,ffnn_0layer,adam,0.05,2,1318,0.8034681677818298,1.2600220441818237,0.7919074892997742,1.2558954954147339
car,4,ffnn_0layer,adam,0.05,3,1360,0.8034681677818298,1.2599563598632812,0.7919074892997742,1.2558400630950928
car,4,ffnn_0layer,adam,0.05,4,1402,0.8034681677818298,1.2600454092025757,0.7919074892997742,1.255916953086853
car,4,ffnn_0layer,adam,0.05,5,1444,0.7745664715766907,1.2628748416900635,0.7803468108177185,1.263867735862732
car,4,ffnn_0layer,adam,0.1,1,1276,0.8034681677818298,1.2600125074386597,0.7919074892997742,1.2558971643447876
car,4,ffnn_0layer,adam,0.1,2,1318,0.8034681677818298,1.2600888013839722,0.7919074892997742,1.255957841873169
car,4,ffnn_0layer,adam,0.1,3,1360,0.8034681677818298,1.2599735260009766,0.7919074892997742,1.2558523416519165
car,4,ffnn_0layer,adam,0.1,4,1402,0.7919074892997742,1.2645946741104126,0.7861271500587463,1.2586288452148438
car,4,ffnn_0layer,adam,0.1,5,1444,0.7745664715766907,1.2628779411315918,0.7803468108177185,1.263889193534851
car,4,ffnn_0layer,sgd,0.001,1,1276,0.7225433588027954,1.285368800163269,0.7052022814750671,1.2818514108657837
car,4,ffnn_0layer,sgd,0.001,2,1318,0.710982620716095,1.301655888557434,0.7225433588027954,1.2990926504135132
car,4,ffnn_0layer,sgd,0.001,3,1360,0.7514450550079346,1.292339563369751,0.7283236980438232,1.2897378206253052
car,4,ffnn_0layer,sgd,0.001,4,1402,0.7225433588027954,1.2986723184585571,0.7167630195617676,1.2968833446502686
car,4,ffnn_0layer,sgd,0.001,5,1444,0.7398843765258789,1.2839512825012207,0.7341040372848511,1.281705379486084
car,4,ffnn_0layer,sgd,0.005,1,1276,0.7225433588027954,1.285342812538147,0.7052022814750671,1.281654953956604
