timestamp,dataset,depth,num_features,num_classes,num_samples_train,approach,test_acc_mean,test_acc_std,test_ce_mean,test_ce_std,val_acc_mean,val_acc_std,num_params
2026-04-16T19:02:41.520981,yeast,4,8,10,1187,ffnn_0layer_bias,0.5382550239562989,0.0026845693588256835,2.276097822189331,3.2505608204304026e-05,0.4243243396282196,0.0027027010917663576,8
2026-04-16T19:03:13.626839,yeast,4,8,10,1187,ffnn_0layer_nobias,0.508724820613861,0.0026845693588256835,2.2792903900146486,3.0745608031631295e-05,0.5216216325759888,0.0027026891708374027,8
2026-04-16T19:03:43.370709,yeast,4,8,10,1187,sampler,0.508724820613861,0.0026845693588256835,2.2792903900146486,3.0745608031631295e-05,0.5216216325759888,0.0027026891708374027,4
2026-04-16T19:04:18.138762,yeast,8,8,10,1187,ffnn_0layer_bias,0.5973154306411743,0.004244676855293505,2.2724633693695067,4.483116353935484e-05,0.5554054260253907,0.0027026891708374027,16
2026-04-16T19:04:56.505414,yeast,8,8,10,1187,ffnn_0layer_nobias,0.6013422846794129,0.0032879125541167625,2.2724465847015383,2.9932842548462945e-05,0.5554054260253907,0.0027026891708374027,16
2026-04-16T19:05:25.575461,yeast,8,8,10,1187,sampler,0.6013422846794129,0.0032879125541167625,2.2724465847015383,2.9932842548462945e-05,0.5554054260253907,0.0027026891708374027,8
2026-04-16T19:05:47.153139,glass,4,9,6,171,ffnn_0layer_bias,0.7272727489471436,0.0,1.7404879331588745,0.00016644940003487972,0.523809552192688,0.0,8
2026-04-16T19:06:02.849248,glass,4,9,6,171,ffnn_0layer_nobias,0.5454545617103577,0.0,1.742243480682373,0.0005823442420633197,0.380952388048172,0.0,8
2026-04-16T19:06:18.160922,glass,4,9,6,171,sampler,0.5454545617103577,0.0,1.742064070701599,0.000114813352582634,0.380952388048172,0.0,4
2026-04-16T19:06:33.833475,glass,8,9,6,171,ffnn_0layer_bias,0.7727273106575012,0.0,1.7270926475524901,9.129698989878732e-05,0.4761904776096344,0.0,16
2026-04-16T19:06:49.740942,glass,8,9,6,171,ffnn_0layer_nobias,0.7727273106575012,0.0,1.7266296863555908,0.00010206157749706834,0.4761904776096344,0.0,16
2026-04-16T19:07:04.619677,glass,8,9,6,171,sampler,0.7727273106575012,0.0,1.7265438556671142,7.751327182784539e-05,0.4761904776096344,0.0,8
2026-04-16T19:07:20.484174,glass,9,9,6,171,ffnn_0layer_bias,0.7727273106575012,0.0,1.7255465030670165,0.0001086268223531312,0.4761904776096344,0.0,18
