dataset,depth,approach,run_idx,seed,test_acc,test_ce,val_acc,val_ce
lymph,8,ffnn_0layer_bias,5,1444,0.7333333492279053,0.6790975332260132,0.5,0.6515383720397949
lymph,8,ffnn_0layer_nobias,1,1276,0.7333333492279053,0.6790980100631714,0.5,0.6483398079872131
lymph,8,ffnn_0layer_nobias,2,1318,0.7333333492279053,0.6790969967842102,0.5,0.6536700129508972
lymph,8,ffnn_0layer_nobias,3,1360,0.7333333492279053,0.6790971159934998,0.5,0.6472099423408508
lymph,8,ffnn_0layer_nobias,4,1402,0.7333333492279053,0.6790983080863953,0.5,0.6478130221366882
lymph,8,ffnn_0layer_nobias,5,1444,0.7333333492279053,0.6790962219238281,0.5,0.654782235622406
lymph,8,sampler,1,1276,0.7333333492279053,0.6790981888771057,0.5,0.6543664336204529
lymph,8,sampler,2,1318,0.7333333492279053,0.6790961623191833,0.5,0.6536603569984436
lymph,8,sampler,3,1360,0.7333333492279053,0.6790981292724609,0.5,0.6495481133460999
lymph,8,sampler,4,1402,0.7333333492279053,0.6790968775749207,0.5,0.6553494334220886
lymph,8,sampler,5,1444,0.7333333492279053,0.6790961027145386,0.5,0.6579424738883972
lymph,12,ffnn_0layer_bias,1,1276,0.7333333492279053,0.6621254086494446,0.5,0.660498321056366
lymph,12,ffnn_0layer_bias,2,1318,0.7333333492279053,0.663256049156189,0.5,0.6602137684822083
lymph,12,ffnn_0layer_bias,3,1360,0.7333333492279053,0.6631411910057068,0.5,0.6603208780288696
lymph,12,ffnn_0layer_bias,4,1402,0.7333333492279053,0.6625878810882568,0.5,0.6603700518608093
lymph,12,ffnn_0layer_bias,5,1444,0.7333333492279053,0.6623390316963196,0.5,0.6601806879043579
lymph,12,ffnn_0layer_nobias,1,1276,0.7333333492279053,0.6636546850204468,0.5,0.6605562567710876
lymph,12,ffnn_0layer_nobias,2,1318,0.7333333492279053,0.6656452417373657,0.5,0.6604152321815491
lymph,12,ffnn_0layer_nobias,3,1360,0.7333333492279053,0.6655956506729126,0.5,0.6602209210395813
lymph,12,ffnn_0layer_nobias,4,1402,0.7333333492279053,0.6632056832313538,0.5,0.6601739525794983
lymph,12,ffnn_0layer_nobias,5,1444,0.8000000715255737,0.6648893356323242,0.5,0.6605168581008911
lymph,12,sampler,1,1276,0.8000000715255737,0.6663133502006531,0.5,0.6602615118026733
lymph,12,sampler,2,1318,0.8000000715255737,0.6673847436904907,0.5,0.660560131072998
lymph,12,sampler,3,1360,0.8000000715255737,0.6667701005935669,0.5,0.6605368852615356
lymph,12,sampler,4,1402,0.8000000715255737,0.6641718745231628,0.5,0.6606127023696899
lymph,12,sampler,5,1444,0.8000000715255737,0.6653605103492737,0.5,0.6601969003677368
breast,4,ffnn_0layer_bias,1,1276,0.9571428894996643,0.5266111493110657,0.8999999761581421,0.5455811023712158
breast,4,ffnn_0layer_bias,2,1318,0.9571428894996643,0.5261545181274414,0.8999999761581421,0.5457985401153564
breast,4,ffnn_0layer_bias,3,1360,0.9571428894996643,0.5262174606323242,0.8999999761581421,0.5457659959793091
breast,4,ffnn_0layer_bias,4,1402,0.9571428894996643,0.5271510481834412,0.8999999761581421,0.5450084805488586
breast,4,ffnn_0layer_bias,5,1444,0.9571428894996643,0.5270132422447205,0.8999999761581421,0.545586884021759
